percentage,concepts,secs
6.0,43,104.47
11.0,15,83.5
13.0,8,75.43
5.0,23,95.24
45.0,4,132.66
37.0,2,33.71
26.0,39,228.7
21.0,47,275.13
25.0,6,177.29
22.0,16,272.85
19.0,21,190.36
19.0,57,226.22
26.0,17,263.47
26.0,8,79.72
32.0,11,98.0
4.0,2,33.9
7.0,2,45.51
3.0,1,34.22
2.0,1,34.9
3.0,1,19.24
2.0,6,14.66
2.0,6,13.37
1.0,22,16.04
1.0,4,14.55
1.0,39,16.53
70.0,7,356.8
30.0,31,926.4
20.0,17,296.17
19.0,15,163.24
26.0,12,338.0
53.0,14,551.0
22.0,12,288.0
36.0,39,286.76
45.0,14,166.77
18.0,4,136.89
33.0,8,121.15
32.0,15,219.36
37.0,14,161.07
13.0,24,334.55
31.0,11,170.26
21.0,10,192.4
19.0,31,176.65
23.0,52,284.85
25.0,36,316.97
28.0,4,166.87
44.0,5,147.56
19.0,18,340.51
28.0,9,324.22
21.0,21,378.58
25.0,8,270.86
41.0,10,364.59
24.0,12,335.77
19.0,20,333.84
33.0,7,650.95
31.0,12,759.62
32.0,14,471.43
32.0,30,209.63
32.0,23,179.55
41.0,14,166.34
34.0,13,146.17
1.0,20,34.75
24.0,17,114.79
37.0,4,385.97
12.0,6,110.41
13.0,12,98.37
13.0,16,114.53
16.0,12,123.27
3.0,1,55.76
8.0,2,78.55
24.0,1,48.36
10.0,14,114.48
8.0,13,169.37
15.0,11,328.15
26.0,5,322.73
34.0,7,560.51
33.0,5,481.99
25.0,18,454.98
33.0,12,475.52
3.0,3,40.22
19.0,18,112.81
13.0,6,43.77
34.0,5,83.11
36.0,6,241.85
23.0,11,284.88
39.0,7,110.79
27.0,9,243.36
24.0,6,258.35
32.0,7,161.11
27.0,24,250.46
20.0,20,236.74
23.0,18,306.5
24.0,25,291.52
29.0,20,264.58
31.0,24,220.22
29.0,9,142.86
24.0,15,202.56
30.0,10,158.79
29.0,7,195.09
32.0,6,147.0
19.0,9,185.67
31.0,9,211.21
30.0,10,232.67
22.0,10,166.41
2.0,6,18.54
23.0,12,128.02
16.0,11,156.82
11.0,17,181.12
5.0,26,131.55
6.0,54,158.38
38.0,5,449.49
1.0,4,6.85
1.0,11,8.8
2.0,18,25.34
3.0,14,37.45
1.0,14,10.92
1.0,7,7.84
0.0,21,6.74
1.0,26,9.18
19.0,12,204.9
28.0,15,300.63
40.0,11,110.73
42.0,13,161.4
37.0,19,174.52
39.0,8,111.08
37.0,11,187.95
48.0,11,139.08
37.0,19,258.27
23.0,23,154.72
9.0,12,140.9
37.0,3,84.78
37.0,1,111.85
29.0,1,216.59
4.0,6,51.0
3.0,6,28.25
30.0,7,211.25
37.0,6,103.35
39.0,4,204.5
20.0,9,116.0
29.0,15,275.0
14.0,13,287.75
22.0,3,27.01
69.0,19,607.05
36.0,6,182.5
